epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,8463.42,0.88292,0.5829,0.97305,0.98736,0.8456,0.91457,0.7014,0.92492,0.71581,1.03403,0.000553062,0.000553062,0.000553062
21,8874.23,0.88963,0.57445,0.96805,0.97661,0.85129,0.92074,0.71179,0.91864,0.73752,1.02838,0.000537285,0.000537285,0.000537285
22,9285.22,0.87821,0.55883,0.97112,0.97804,0.8566,0.92349,0.7083,0.92975,0.69128,1.02755,0.000521024,0.000521024,0.000521024
23,9695.48,0.8643,0.55519,0.96676,0.97758,0.84627,0.91629,0.70887,0.91355,0.70264,1.01732,0.000504323,0.000504323,0.000504323
24,10106.6,0.86771,0.55742,0.96699,0.97979,0.85534,0.92511,0.70988,0.93406,0.67448,1.03449,0.000487228,0.000487228,0.000487228
25,10516.8,0.86222,0.54224,0.96892,0.982,0.84928,0.92145,0.71517,0.91188,0.67596,1.0255,0.000469786,0.000469786,0.000469786
26,10927,0.84755,0.51972,0.95614,0.97781,0.85602,0.92569,0.71718,0.89756,0.63322,1.014,0.000452044,0.000452044,0.000452044
27,11337.4,0.84816,0.52819,0.96518,0.98399,0.84925,0.92832,0.71891,0.90076,0.62848,1.02232,0.000434052,0.000434052,0.000434052
28,11747.9,0.85817,0.52175,0.9656,0.98507,0.85491,0.93046,0.72337,0.90201,0.62696,1.01525,0.000415859,0.000415859,0.000415859
29,12157.4,0.84814,0.52159,0.96096,0.97647,0.85685,0.92865,0.71739,0.90585,0.60784,1.02137,0.000397513,0.000397513,0.000397513
30,12568.3,0.84571,0.51079,0.96209,0.99316,0.85067,0.92524,0.72462,0.88126,0.59564,1.00493,0.000379067,0.000379067,0.000379067
31,12978.5,0.84026,0.51058,0.95681,0.99112,0.8502,0.93155,0.73189,0.8865,0.57565,1.00585,0.00036057,0.00036057,0.00036057
32,13388,0.83598,0.49348,0.9568,0.98635,0.85441,0.93531,0.72506,0.9063,0.56835,1.02222,0.000342073,0.000342073,0.000342073
33,13797.6,0.82994,0.4958,0.94817,0.98599,0.85785,0.93303,0.7309,0.89026,0.57992,1.01031,0.000323627,0.000323627,0.000323627
34,14206.8,0.82457,0.48925,0.94257,0.98527,0.85491,0.93086,0.73348,0.88381,0.58011,1.00543,0.000305281,0.000305281,0.000305281
35,14616.6,0.82499,0.49056,0.95188,0.98045,0.85856,0.93239,0.7309,0.89628,0.57503,1.00948,0.000287088,0.000287088,0.000287088
36,15025.3,0.82038,0.48786,0.95445,0.9762,0.85277,0.93171,0.72551,0.90763,0.58449,1.01828,0.000269096,0.000269096,0.000269096
37,15434.1,0.81607,0.48139,0.95028,0.98002,0.85725,0.93631,0.73748,0.86709,0.5608,1.0017,0.000251354,0.000251354,0.000251354
38,15843.4,0.80517,0.47355,0.94261,0.98911,0.84965,0.93332,0.73689,0.87132,0.54444,1.00331,0.000233912,0.000233912,0.000233912
39,16253.3,0.81521,0.47054,0.94738,0.98306,0.85685,0.93783,0.74244,0.87189,0.52201,1.00681,0.000216817,0.000216817,0.000216817
40,16662.7,0.81119,0.46714,0.94787,0.97457,0.86021,0.93727,0.74448,0.85885,0.53561,0.99898,0.000200116,0.000200116,0.000200116
41,17071.8,0.80507,0.46503,0.94597,0.98545,0.86296,0.93633,0.74118,0.86118,0.53669,0.99892,0.000183855,0.000183855,0.000183855
42,17481.5,0.80614,0.4659,0.94719,0.97356,0.86305,0.93705,0.7375,0.87175,0.54234,0.99784,0.000168078,0.000168078,0.000168078
43,17889.5,0.80951,0.46452,0.94538,0.97684,0.86274,0.93866,0.74007,0.86539,0.51131,0.9981,0.000152829,0.000152829,0.000152829
44,18298.9,0.79826,0.45502,0.9407,0.98394,0.86175,0.93838,0.74411,0.85835,0.50933,0.99657,0.000138149,0.000138149,0.000138149
45,18706.6,0.81029,0.45809,0.94427,0.97894,0.86441,0.93945,0.74455,0.85705,0.5053,0.99384,0.000124079,0.000124079,0.000124079
46,19115.7,0.80109,0.45365,0.94049,0.98065,0.86198,0.93819,0.74509,0.84906,0.5252,0.98765,0.000110657,0.000110657,0.000110657
47,19519.7,0.79327,0.44419,0.93777,0.97739,0.86618,0.94059,0.74595,0.85015,0.50474,0.992,9.79203e-05,9.79203e-05,9.79203e-05
48,19930.2,0.79893,0.44427,0.9436,0.97194,0.87156,0.94087,0.74732,0.84925,0.49987,0.99223,8.59033e-05,8.59033e-05,8.59033e-05
49,20342,0.79678,0.44739,0.94068,0.97235,0.87168,0.9404,0.75003,0.83926,0.49124,0.98696,7.46391e-05,7.46391e-05,7.46391e-05
50,20755.6,0.79038,0.44373,0.93883,0.98522,0.85736,0.9401,0.74912,0.84376,0.4937,0.98654,6.41587e-05,6.41587e-05,6.41587e-05
51,21165.5,0.74997,0.37824,0.93586,0.97873,0.86845,0.94073,0.74802,0.84314,0.50034,0.98713,5.44906e-05,5.44906e-05,5.44906e-05
52,21575.1,0.73989,0.36954,0.93182,0.97882,0.86612,0.94015,0.74833,0.84852,0.49405,0.99052,4.56616e-05,4.56616e-05,4.56616e-05
53,21984.5,0.73829,0.36745,0.92868,0.98649,0.86286,0.94112,0.7506,0.84597,0.48726,0.99021,3.76956e-05,3.76956e-05,3.76956e-05
54,22394.2,0.73747,0.36336,0.92492,0.98102,0.86419,0.94123,0.74835,0.84868,0.48768,0.99028,3.06147e-05,3.06147e-05,3.06147e-05
55,22802.8,0.73508,0.36427,0.92852,0.98573,0.86089,0.94167,0.75261,0.84769,0.48537,0.99034,2.44381e-05,2.44381e-05,2.44381e-05
56,23212.9,0.73239,0.36181,0.92437,0.98494,0.86123,0.94187,0.75311,0.84398,0.48381,0.98916,1.91828e-05,1.91828e-05,1.91828e-05
57,23621.8,0.72978,0.36015,0.92331,0.9747,0.86885,0.94188,0.75137,0.84644,0.48925,0.99075,1.48633e-05,1.48633e-05,1.48633e-05
58,24030.6,0.73225,0.36177,0.92761,0.98748,0.85982,0.94199,0.75178,0.8433,0.48816,0.98974,1.14913e-05,1.14913e-05,1.14913e-05
59,24438.7,0.73471,0.36372,0.9296,0.97803,0.8663,0.94173,0.75317,0.84143,0.48659,0.98812,9.07613e-06,9.07613e-06,9.07613e-06
60,24844.9,0.74155,0.36919,0.93059,0.98163,0.8614,0.94171,0.75321,0.84057,0.48388,0.98756,7.62436e-06,7.62436e-06,7.62436e-06
