epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,10518.4,1.36561,2.02358,0.88691,0.61158,0.2559,0.27447,0.19472,1.28067,1.78489,0.89048,3.25754e-05,3.25754e-05,3.25754e-05
41,10739.8,1.28854,1.80952,0.88771,0.58666,0.26605,0.2797,0.19697,1.27762,1.70278,0.89133,2.9744e-05,2.9744e-05,2.9744e-05
42,10959.6,1.29855,1.82337,0.88925,0.60267,0.26732,0.28133,0.19867,1.27077,1.67889,0.89192,2.69126e-05,2.69126e-05,2.69126e-05
43,11182.2,1.29171,1.77869,0.89107,0.64685,0.25964,0.28312,0.19983,1.26765,1.66015,0.89154,2.40812e-05,2.40812e-05,2.40812e-05
44,11404.5,1.29959,1.77411,0.88977,0.65936,0.26096,0.2883,0.20409,1.26735,1.65148,0.89157,2.12498e-05,2.12498e-05,2.12498e-05
45,11656.8,1.27461,1.74779,0.88683,0.62517,0.26432,0.28995,0.20573,1.26416,1.64983,0.89067,1.84184e-05,1.84184e-05,1.84184e-05
46,11879.3,1.28295,1.7362,0.88714,0.62756,0.26669,0.29191,0.20682,1.26216,1.64866,0.89017,1.5587e-05,1.5587e-05,1.5587e-05
47,12101.3,1.26761,1.71755,0.88622,0.62349,0.27251,0.29346,0.20832,1.26006,1.64049,0.88982,1.27556e-05,1.27556e-05,1.27556e-05
48,12322.6,1.27235,1.72862,0.89014,0.63502,0.26935,0.29472,0.20902,1.25908,1.62464,0.89046,9.9242e-06,9.9242e-06,9.9242e-06
49,12542.1,1.27762,1.73947,0.88884,0.65007,0.26866,0.29536,0.20929,1.25861,1.62511,0.89049,7.0928e-06,7.0928e-06,7.0928e-06
50,12759,1.28266,1.7467,0.88686,0.6503,0.26958,0.2955,0.20935,1.25859,1.62358,0.89042,4.2614e-06,4.2614e-06,4.2614e-06
